1000000 100000
1 619554 672462125
1 825700 457925414
2 122416 143823
2 461426 832521
1 639569 45190
2 855956 874424
1 835102 651193518
1 649714 719137731
1 323173 124146363
2 230974 300916
1 647465 823673754
1 956150 207390100
1 531436 -338033423
2 78167 857132
1 352055 10324274
1 14906 -220859178
1 166063 -269086367
1 275804 -912952295
1 31463 -339150795
1 182867 360799573
1 687190 869923732
1 569695 -263931766
1 419579 78588853
1 592259 -689464333
1 502933 -381807870
2 613933 774103
1 179616 239996760
1 507086 985737939
1 152442 -764950331
1 855850 -877094406
1 87038 -741629313
1 217964 858153499
1 649960 -480574562
1 735450 -533922345
1 87478 309438263
2 137441 493310
1 410566 348528578
1 469067 249800110
1 11541 959326955
2 846424 999809
1 269989 -659833670
1 366549 -570547896
1 407551 793551970
1 645565 -579968289
1 725713 -708087259
1 90104 -18783178
1 511703 890572621
1 452105 -823623058
2 407489 899520
2 128831 662927
1 615474 732144411
1 64507 257118682
1 627586 -2269061
1 482245 -913850232
1 515385 616688105
1 944323 -97554
1 984547 -380919493
1 582097 631606822
2 5336 637962
2 478021 895967
1 277950 436770758
1 568482 199368347
2 204661 776410
2 76734 150610
1 891694 498037330
1 387998 261643472
1 381155 -477500668
2 604860 888044
1 637053 -604701388
1 780897 -827150775
1 946359 163388888
1 818134 -231809129
1 917778 -489172630
1 141077 -974261918
1 528839 694940018
2 240091 606626
1 704600 -117671010
1 176590 797118915
1 195037 -27592827
2 545145 580232
1 917061 -977099422
1 946838 -624159933
1 904077 536845302
1 114721 -861325249
1 658838 793064411
1 868380 -211856164
1 80856 703795172
1 256073 -861105362
1 960774 -474653972
1 170582 65807922
1 573622 378534336
1 546049 -79831492
2 30025 666001
1 537071 847100097
1 849036 464168680
1 719351 -445989104
1 235537 -665420127
2 517403 740935
2 737420 870803
1 739361 -9023144
1 788184 -378524392
1 75015 886579876
2 4948 468808
1 447661 374866227
1 397814 -737123513
1 144561 16697115
1 842298 -181203789
1 755885 -818156792
1 139340 69003361
1 959904 151035933
2 410312 968415
1 674791 490810484
1 833626 -156313469
2 335705 927487
1 731765 965609347
2 236527 656481
1 890225 -426440136
1 733756 695987761
2 94054 381345
2 145515 201944
1 603488 822765926
1 134783 -905234058
1 112584 446758447
1 837421 -397293372
1 530087 -560883111
2 653262 869538
2 643970 994729
1 672082 -13626359
1 546677 -209059607
1 506678 -742443180
2 247251 589148
1 145954 -677579404
1 532768 -590848657
2 248440 452096
1 380577 539491909
1 756316 753588737
1 108415 417787203
1 695903 -997037974
2 414638 689688
1 235059 256164187
1 85096 -956721904
2 102545 318684
1 35477 -758980615
1 60199 -399483349
1 63891 688562571
1 348918 931890918
1 383684 947079874
1 365874 143799092
1 856339 -236198605
2 953934 974364
2 490787 778710
2 487438 755283
1 463470 851187408
2 268182 701387
1 105777 114085862
1 29773 612239336
2 431355 602392
1 845342 -502407921
1 736630 -563719140
1 490548 963018036
1 2416 20733054
2 586903 946336
2 476003 699411
1 432009 199708319
1 775039 28408842
2 378004 951919
2 387047 388114
1 588073 420359929
1 518602 252709989
1 352490 -966155396
1 447454 -647108244
1 443016 999393877
1 902163 587307745
1 890694 -803770155
2 211396 858753
2 237031 838408
1 765720 -885625138
1 810791 976845586
1 983171 736070178
2 287665 925573
1 141896 -794728298
2 508837 673224
2 348872 934988
2 834674 882268
1 88609 -535349933
2 753500 850894
1 869310 165951208
2 61765 498775
2 566462 751858
1 552339 416316764
2 290415 501905
1 3156 891644766
1 75755 695535662
1 15369 30499187
1 713324 650275034
1 486481 218599708
1 747414 -232208253
1 48635 216137884
2 353271 913207
2 124343 541737
2 716377 928491
2 128093 390312
2 278769 961577
1 421255 714851841
1 919303 806647812
1 563870 644272621
1 411464 611477176
1 171497 -211392164
2 296142 298871
1 984806 -468337431
1 885286 -929671041
1 912578 265003084
1 375135 63304938
1 462251 231511960
1 425475 -341364106
1 820917 -853647119
2 99653 471714
2 333405 608452
1 176251 393606827
2 116448 607732
1 397666 -503623216
1 286357 403459105
1 557167 -228026072
2 9754 778853
1 176224 -183060347
1 327380 -464230059
1 237659 257733401
1 732176 -807027724
1 460572 -436112976
1 424944 -94805101
1 765383 707823790
2 143100 280894
1 994117 780967989
2 81887 108277
1 96039 904006398
1 85752 -915498415
2 414177 521194
1 460491 -989922629
2 128512 909217
2 43860 62918
1 489266 931164264
1 912563 -816458755
1 496918 753961426
1 234886 -564140650
2 708994 833741
2 121361 426195
1 188959 -973340102
2 6075 679848
2 10592 500476
1 800638 -228804613
1 479611 646499380
1 304609 -977561402
1 7462 -314738996
2 121239 292979
1 797882 459875200
1 221555 278470087
2 207788 710860
2 269614 355192
1 468051 377904840
1 784918 544744664
1 606384 -282911170
1 960928 -750180359
1 978725 -962663004
2 879312 987648
1 554358 287529824
1 793838 355792568
1 391136 131423153
1 873330 869005253
1 884389 -462266881
1 931261 573312755
1 755245 983466724
2 609678 650718
1 906097 208196861
1 103854 296261201
1 638879 -607584877
1 360004 -326766412
1 512355 -509280730
1 212117 -419559785
1 258449 75697437
1 10450 -922213174
1 598129 138545987
1 735540 -452181293
1 883458 757850815
1 634674 -283285173
1 523502 519770496
1 724648 961253269
1 47538 -915231366
2 142986 735330
2 237886 532500
2 236071 656609
1 342092 -534197347
2 489230 546891
1 619877 -517252714
2 25181 341447
1 411354 168221827
1 464813 -425087830
1 342616 -23977328
1 936266 -313828044
2 166047 281541
1 433950 -490897557
1 591291 -791282126
2 134728 490979
1 525561 452363322
2 312386 944462
1 101176 631433744
2 85423 610467
1 685264 -930912556
1 393997 -610716180
1 555337 -159714528
2 459754 666498
1 101941 727739431
1 515599 -168350683
1 622208 943245184
1 733494 -625474886
2 275746 500853
1 847250 855302580
1 777420 542007269
2 202508 988074
1 12208 475215202
2 313960 858358
1 578886 -436797448
2 733622 793495
1 800129 -552815535
1 385341 -940165520
1 457058 155570412
1 704300 -386180645
1 16779 -861381518
2 822829 991121
1 889407 129426875
1 161663 558816787
1 711919 562550041
1 578025 551027414
1 17948 -144137241
2 309552 975267
2 631168 749445
1 82103 -523582114
1 251534 -813511917
2 87281 211893
1 758515 47790290
1 675067 957060512
1 380119 101598792
1 665969 -782663191
1 229875 -706646850
1 618766 220985050
1 432331 135500231
1 385063 907330299
1 676555 933335783
1 257210 -16838082
2 344104 668085
2 173070 995851
1 348017 -371491683
1 981367 -537027438
1 594772 -549983157
1 415906 -436149598
1 772103 869670231
1 727635 -639786817
1 835890 298009606
2 577572 778159
1 728602 -221987030
1 206618 444045299
1 742732 -743378972
2 329405 453242
1 159887 701991236
2 2624 148927
2 150880 766646
1 402634 -518762650
2 157192 967886
1 756446 215333861
1 870941 -265513701
1 448801 107823572
1 817581 -96184858
2 901218 966125
1 264486 39819342
1 172983 287945987
2 367985 661932
2 922951 937748
2 130400 891936
2 657795 871205
2 718274 937867
1 28850 -124184699
2 536216 734855
1 636033 -94764306
1 102211 -689658729
2 171942 848273
1 933971 467684405
1 562650 185880328
1 475270 -58837426
1 449179 471654132
1 559386 -414345324
2 159400 879726
1 216880 524663937
1 219958 -947529402
1 90061 -205695646
1 565692 474200349
2 287648 727951
1 733433 917979192
1 593104 548263709
1 434468 813881424
1 540476 -970829791
1 457151 -837348679
1 377241 868174589
1 441079 693264828
1 509641 -210504024
2 74898 677167
1 289686 647267990
2 310248 760699
2 34139 581965
1 376987 -743374766
1 220164 965216995
1 638453 -470208713
1 478617 270288640
2 41844 535129
1 842555 -958610862
1 307261 639506224
2 147386 911570
2 368309 819651
1 859761 -35500919
1 753212 -517301110
1 44467 999879000
2 157917 693148
1 670229 267787202
1 675026 -913893971
2 171680 208857
1 144646 793551058
1 202284 -380456576
1 923303 -365761220
1 369276 145660833
2 220023 317825
1 100096 771984306
1 638211 243306898
1 391032 -763725986
2 714726 799756
1 60509 127626871
2 515851 973960
1 481902 161198396
1 282033 933771319
2 509306 793300
2 510246 882724
1 799511 -747361185
1 336895 687111973
1 489926 -792060299
1 396411 -663856910
2 468849 957451
1 543723 672094833
1 351741 597649714
1 745487 -555733624
2 269527 645577
1 546966 -217716054
2 612135 674312
1 567408 407162005
1 555580 -917280639
1 760772 -412877827
1 937652 855915598
1 546317 989122621
2 510716 701754
2 433426 617331
1 66068 -810048951
1 180835 647119983
1 283023 -420953474
2 850282 997354
1 446989 -761842990
2 111776 772489
1 585859 -922277673
2 490726 869434
2 818069 897740
1 603745 -103871926
1 207116 -541678429
1 677027 711073690
1 158173 839787948
2 239513 976327
1 279973 -76274043
1 757971 -594049998
2 236210 436747
1 280118 283529736
1 906465 -841731053
1 161989 -219467243
1 604154 -395307363
1 63750 449405038
2 194803 866483
1 770850 -848293824
1 449986 -309862104
2 198953 886123
1 610754 22568152
1 679541 18263301
2 289976 957621
1 248400 904563688
1 692065 -78181886
1 64113 8249790
1 195482 -873150894
1 805745 628934745
2 268508 642632
2 495366 634505
1 44237 866902678
1 728734 -565199641
1 828846 143061293
1 333883 -826139343
1 874905 -285475368
2 686269 881215
2 570282 824864
1 444249 -737103351
1 453584 -320297632
2 270230 689530
1 573696 189470298
1 484647 -411662036
1 240854 743052527
1 402941 732761381
2 233925 635637
1 96033 948986423
1 715126 694862228
1 828461 179076447
2 158011 755542
1 887142 -85988609
1 660226 -976755219
1 832376 517871983
1 259494 629332209
1 691208 665928705
1 111300 -213859449
2 614927 791225
1 506223 471577920
2 325378 377820
1 254898 -734768807
2 333353 914729
1 623425 -70893919
2 470925 805495
1 407145 866840524
1 145145 -631298748
1 137177 -278676937
1 528188 -751075919
1 706022 145176378
1 262778 932779214
1 159868 -557148679
2 824117 844652
1 805793 -617971021
1 242089 158095801
1 293012 -507926952
2 459106 535408
1 176518 751999315
1 536635 -742252591
1 409996 568496086
1 338487 -7147057
2 479649 833502
1 597557 -587824939
1 741388 202801321
1 520613 -884040134
1 19191 -619221401
1 594695 612328987
1 368783 849496538
1 372358 118723140
2 66448 712005
2 685737 899261
2 401962 794405
1 337088 -466048419
1 991687 803402004
1 239843 572393381
1 506693 -821144680
1 177467 -804727570
1 260394 -134289039
1 818719 992016653
1 973449 -883417891
1 873976 -234615504
2 827509 889327
1 839965 -666557485
1 506452 -719111154
1 47055 693323662
1 155735 726022617
1 838039 -490139743
1 864132 150874919
2 134439 825552
1 946200 -677157911
1 45703 -492352182
1 134951 566876365
1 522610 914598437
2 827127 972763
1 55632 -239254987
2 124653 190370
1 701762 651217582
1 447604 547366238
1 226253 -878050301
1 614536 117470070
1 352228 -815739386
2 276522 627967
2 343319 813754
1 434157 -656663668
1 413299 767592023
2 150740 640127
1 200153 -918055715
1 769801 -673420180
1 593603 136231564
1 286052 652688552
2 148028 964382
1 741477 -5747752
1 737361 -137081904
2 53070 633034
1 782837 -169124526
2 51032 325211
1 92381 -840723357
1 428153 956465560
2 239602 583201
1 27166 -75541504
1 267817 551875000
1 323693 -263675099
1 49425 181156710
2 352546 751472
1 784165 -806362540
1 236588 -528426731
1 304709 -905741506
2 878747 975736
1 622886 -722518398
1 876086 -718076332
1 303374 -325019908
2 571354 668777
1 831037 855325902
2 349987 557098
1 270525 971944360
1 156590 -489234903
1 424028 820298389
1 947235 793375199
1 124967 -231211775
1 62703 602162272
1 36721 -405717834
1 863366 860141150
2 909125 926559
2 598155 893889
1 840362 -298707589
1 529439 -249152998
1 620012 -392948939
1 202755 -280334502
1 925078 138678178
2 136155 231843
1 558980 564419765
2 537841 726351
1 765207 137587802
2 100179 970641
1 176534 -543043017
1 41182 793853270
1 5376 589582527
1 520567 126887439
1 850061 -589077488
1 305825 699931848
1 682085 266235250
2 257863 608407
2 677949 816072
1 177184 -186531344
1 508865 490770463
2 108984 941867
1 617507 -928243829
2 699498 869050
2 163741 649648
2 269580 937884
1 960421 46185110
1 711704 408988283
1 344352 735444318
1 531896 504786202
1 943548 304024552
1 31200 -572482668
1 19396 -716674896
1 584558 -54633918
1 143859 152087567
2 644122 869761
1 89035 -180470298
2 341547 958311
1 860705 239543826
1 516187 -513310062
1 761651 687622615
1 276406 475018531
1 361617 21856084
2 893416 903122
1 223193 -778992891
1 779638 515964559
2 209509 637221
1 852375 -830877667
1 790685 329876143
1 838747 -774305545
1 657370 59575045
1 100449 604012353
2 237412 674704
1 782744 -373915087
1 394660 -554450772
2 227422 462385
2 200459 594484
1 633760 -257150261
1 440691 -882104541
2 177976 481542
1 185555 153132840
2 563097 960457
2 265212 478905
1 216764 417930354
1 41266 -722561859
2 786331 833560
1 522676 -970900577
1 48926 157487408
2 146840 981953
1 427901 431324344
1 133691 -773672139
1 226824 539579182
1 133521 -611976188
1 797014 -612202645
1 527706 805604487
1 352791 -613742146
1 73101 -411016117
1 248606 -823206012
2 415303 432783
1 849917 -353709999
1 329042 277651388
1 726613 -599879060
1 21706 879827903
1 920836 175447238
1 886185 498837976
1 336284 490187922
2 197935 697443
1 677163 722961814
1 293904 -848194838
2 760248 951139
1 437556 281062945
2 547517 990896
2 162125 769226
2 24657 678741
1 194644 -427144282
1 550284 25803689
2 590274 668619
2 228562 932857
1 675423 -218264958
2 5275 505413
1 830387 -584574490
1 156959 28236850
1 588613 -497044643
1 840549 -685084999
2 448784 712998
1 412798 830838957
1 79299 745706598
1 707145 -618411547
2 393182 908238
2 400805 700770
1 353081 440759083
2 202105 210443
1 276955 955298823
1 69288 262931831
1 991170 -565250145
2 2114 196443
1 376232 -333886656
1 981845 -894060023
1 842957 -751880629
2 604844 911932
1 202701 465534467
1 513117 538197538
1 676328 -414592840
1 328151 709550455
1 204096 100714173
1 226239 501055445
1 246252 208014342
1 320448 -593802500
2 212785 498429
1 836428 204114683
1 501911 992414876
1 157538 -73107505
1 559274 -672242546
1 814612 -956072221
2 453002 612782
1 554416 -508731338
1 185953 595088181
1 484498 -227075771
1 108837 919626532
1 352236 -780892335
1 504920 -59226815
1 68540 -828177228
1 482790 318571280
1 451462 -403369798
2 398146 805843
1 267023 -162070469
1 4619 744774243
1 910858 100309984
1 377089 -719880104
2 434574 679291
1 976948 664297474
2 266985 834315
2 451168 760974
2 373788 529808
2 473198 880809
1 76387 -710810124
1 884143 -975798173
1 416287 -229984184
1 360085 854213968
1 701828 397523329
1 148515 -608812943
1 931643 416002228
1 106097 -222777710
1 733555 523801853
2 76260 750415
1 14789 -543900245
1 529201 113886009
1 802493 807520130
1 600914 -319385219
1 380310 33086153
1 205282 73456373
1 545178 845995578
1 157624 -316415487
1 294271 -409108451
1 86502 -865509468
1 372980 951120666
1 3250 735486513
1 795331 -785815963
1 966280 -71042010
1 364683 395561833
1 851146 759860714
2 123001 735357
1 251660 654807313
1 899863 587092534
1 495576 -767944059
2 147257 614597
1 355943 482711756
2 258585 953297
2 65182 385486
1 771036 259810284
2 331739 363371
1 530479 718336728
1 964971 765325830
2 261162 721871
1 219039 985073885
2 93419 941625
1 20899 74095354
2 396473 757652
1 30344 -686978626
1 718984 533152162
2 301363 780189
2 52448 813796
1 819274 173868633
1 155626 -867529977
1 517824 -524601456
1 265629 -586374871
1 499205 -841397461
2 935065 974328
1 882128 -18585975
1 578724 -453357169
2 11203 530895
1 149703 49011448
1 633734 661410008
2 130686 801472
1 920447 195514982
1 180554 313938900
1 441202 -710880504
1 730626 821748333
1 686333 933051560
2 161090 575458
2 472935 636897
1 328657 737906292
1 856158 -17484394
2 705865 739317
2 290448 380865
1 239789 -402503523
2 249603 270943
1 432981 -112760199
1 598086 335804798
1 549388 -534120659
1 23786 -268133723
2 441973 941879
1 42598 901903598
2 474806 573295
1 214715 -462362517
1 481223 -692169687
2 472531 549411
1 15504 597464470
1 623545 -825817818
1 459962 -456926111
1 61270 -971279499
1 920641 710464859
1 429821 212437267
2 286381 866618
1 526970 666454122
1 266326 -17732340
1 245144 899570147
1 695830 654191922
1 79644 -301983763
1 168341 -327613951
1 70017 -828813150
1 487977 119450746
1 127407 496090456
1 617149 -393436301
1 15698 56070160
1 709858 877853661
1 826972 96557618
2 168841 660829
1 23712 854023736
1 82878 -300916264
2 610149 846896
1 351625 219485630
1 709063 -781609029
2 65862 654183
1 434244 -995036927
1 267402 516320387
1 600354 -623061894
1 154692 -617105893
1 577336 28849715
1 934304 -588000267
2 197236 836225
2 427944 621577
1 8268 -635894417
1 895249 -361644745
1 697753 311644391
1 39773 -419532431
2 729056 973820
1 189726 -856993134
1 249052 708214146
1 714842 -512242466
1 207625 -660157230
1 326493 -33713041
2 346497 480250
1 293104 854424884
1 643518 286712779
1 823907 -890947864
1 591846 262513466
2 682734 917841
1 939523 282132621
1 459708 -252590401
1 750515 973742559
1 24897 -107489625
1 413991 481173672
1 966431 950330015
1 196853 -554647229
1 85698 -289808032
2 202818 282140
1 363135 -133026884
1 169140 -231773145
1 130593 -449380091
1 495390 -934791090
1 172897 590754987
1 730233 451883969
1 684029 305388258
1 994941 868765678
2 78753 557865
1 834420 -833508870
1 198554 -297874864
2 214625 537593
1 415070 -122558277
1 237372 667226181
1 243567 -812999408
1 215085 -604357931
1 383176 64046599
1 457537 -677902109
1 760382 259441015
2 545924 846818
2 25967 660817
1 508695 995606270
1 186103 338156765
1 929385 679243065
1 658561 484137786
1 727662 -755570716
2 477398 769450
1 192738 619087352
1 92934 -370669605
1 856897 -294662650
2 354880 628077
2 195804 964388
1 872985 -150331333
2 507926 590666
1 193976 260352785
1 224910 -677281910
1 596141 152791337
1 196620 603792960
1 604825 909366897
2 307477 626644
1 259963 -443324941
1 249874 76847300
2 351062 903040
1 199504 835704402
1 975327 959768331
2 267690 424651
2 599845 915630
1 714393 796660306
1 471298 -339709077
1 291297 -135558786
1 40003 737834210
2 277309 986038
2 757009 884576
2 164509 218022
1 138145 -545471323
1 190035 528846563
1 209238 614115907
1 814308 -624939564
1 421285 -851597862
1 697122 633259078
1 697508 -265853486
2 82090 600964
1 312769 -835163602
1 685935 -238191375
1 743860 -331539925
2 125896 561947
2 255920 831025
2 428101 897440
1 322237 806791242
1 982606 428271646
1 768390 -49359032
1 252009 236612348
1 197311 474491399
2 849437 920962
1 26533 -924893933
1 329575 -31160552
1 554632 405073377
1 6147 392544456
2 357112 483211
1 366150 67715261
1 38541 961553399
1 81213 291111762
1 230671 -35666274
1 829785 -791121417
2 718610 995900
1 893457 472066086
2 759648 771423
1 489044 -619517557
1 350804 241692907
2 42690 595107
1 744443 -857561291
1 411532 221870528
1 846833 -600463369
1 770815 -558957837
1 609198 -332888284
1 473765 863181383
1 305100 -828658969
1 519406 -349210902
2 73170 852798
1 628370 281682928
2 24194 456255
1 632892 -222376279
1 512975 295268244
1 594566 -869925201
1 692142 -914438257
1 433145 -28413476
1 322412 969549927
2 197237 937553
2 110892 629766
1 288484 -571761837
2 268554 809558
1 944918 967225858
1 918836 525080188
2 653685 856305
1 192085 689807559
1 90872 -47657548
2 102018 470200
2 909677 940485
1 985588 852539878
1 33899 -319872577
1 129961 -48299014
1 349079 344426263
1 706378 431620026
2 412962 516216
1 969926 -817097601
1 211232 -990590867
1 21551 20437051
1 853497 447764671
1 70975 272238132
1 430549 -385930061
1 609117 553191461
1 734971 -208362036
1 882941 902774943
1 142887 -846990917
1 354928 511070184
2 627005 962451
2 402812 923854
2 474770 848168
1 266678 -129366474
1 616509 -49093998
1 181320 -693529906
1 178765 165126183
2 388039 526201
1 146301 -559097519
1 963494 147969058
2 56282 117994
1 602901 107758461
1 335051 -27843368
1 765236 445686864
1 95142 838603461
2 244669 837112
1 842418 270187969
1 624257 544756578
2 545231 897525
1 110706 799082874
1 433266 -574350594
1 489114 -215769890
1 656828 374605523
1 792497 -231993786
2 119492 160989
1 117339 -717623565
1 572803 828831644
1 613872 -587163260
1 132770 -410041578
2 534157 917376
1 28760 -678119188
2 79256 460288
2 280652 749540
1 456929 344450262
2 10029 137219
1 808624 603319539
1 281875 -678557583
1 509914 488522555
2 132960 184399
1 419437 -490852119
2 270794 447701
2 882294 925914
2 221581 408771
1 934830 -435829516
1 718009 208864489
1 393797 750941834
2 20526 259666
1 6628 -682700758
1 145230 447293365
1 228889 -127790856
2 302327 849918
1 582372 954723254
1 410443 -657086167
1 983856 691856648
1 529741 -35948386
1 252003 721812574
1 554271 -696296246
1 279883 -555566740
2 588144 891681
1 182547 635611397
1 765577 -462220719
1 584167 -340424404
2 657403 802310
1 68244 -677963704
1 300575 387210259
1 672148 -265907004
1 415021 143337969
1 214501 -115352588
1 928073 -392272496
1 151352 198484060
1 94414 653856433
2 306117 862367
1 272406 -843711164
1 359538 982082494
1 266675 -444260645
1 223057 489491758
1 393132 565462936
2 758485 923313
1 218210 484055747
1 40660 495312226
2 211368 768623
1 573816 144270310
1 870884 334829371
1 490274 -267937570
1 113355 -618757327
1 694334 -113258804
1 707963 635530812
1 77462 643367212
1 363724 599713082
1 639824 -442711678
1 925077 42575941
1 156594 700067145
1 437107 -891964752
1 19367 961460593
2 431058 765503
1 458707 89257168
1 932055 745547919
2 472885 949511
1 713584 457380056
1 654476 888690266
2 251971 272869
1 452399 788478518
1 980263 790487276
1 780416 -659815861
2 328054 793460
1 234538 771758398
1 347642 -910709926
1 559801 -554147460
1 136069 572766699
1 871814 -248787014
2 188095 571313
1 354951 -713762795
2 335431 803266
1 97375 -416907695
1 59673 734026841
1 424635 -270264256
1 364125 -229592955
2 448887 600672
2 78097 110250
2 417845 990817
1 61266 -655369451
1 577092 -359527733
1 691855 -344533478
2 333569 398449
1 371006 667927804
1 311488 652765875
1 233165 -30448069
2 752712 871091
1 631102 -254963248
1 539370 -125924084
1 427838 -347620973
2 540501 869916
1 978489 -999087456
1 702142 406422349
2 634974 863802
1 269259 203659401
1 822838 125484245
1 473524 337229064
1 596798 220578001
1 287559 -935164054
1 772842 244209852
1 866965 -192907833
1 850196 369115947
1 455700 -482317671
1 292844 -387009878
2 688802 946372
1 246866 -656421106
2 215385 642795
1 301247 937923678
2 689277 695541
2 776557 972770
2 288154 736762
1 931471 -71965794
1 216047 453194666
1 366080 -965889097
1 431422 -982668668
1 8623 446536070
2 480168 565421
1 2485 900533882
1 369460 674770299
1 970277 -32701106
2 130927 993269
1 30613 -439457443
1 359662 196945082
1 498863 96512850
1 735457 654681320
1 595787 888430899
1 968951 452595324
2 615994 683587
1 426260 950294708
1 436277 -666466675
1 853337 -60961637
1 964176 -661210700
1 744109 -725873532
1 737538 -87310324
1 569900 -772654284
1 354749 -877610672
2 415680 507634
1 878935 393160815
1 776020 506171771
2 207036 639193
1 71536 -193134148
2 289542 502483
1 426327 292844936
2 27548 284238
1 635091 -546640351
1 120185 -279218643
1 965709 77928030
1 85746 160126
2 244831 567886
1 379224 -653419335
1 894665 -206259555
1 280488 220550483
1 729644 239904402
1 594328 978621876
1 984016 -93532989
1 920164 579823900
1 180178 862992235
1 711532 -344810804
1 846316 738627903
2 55209 444393
1 479421 -47059027
1 26595 730845438
1 576442 871246031
1 631137 -697364522
1 271565 -612896078
2 881766 915294
1 108822 453263561
1 798610 643249656
1 207350 -282748951
2 6466 263931
1 403501 884128140
1 467128 487197713
1 839773 674584654
2 768853 809235
1 195511 879050035
1 704861 891900640
2 540380 580601
1 159873 268286181
1 732110 -551545436
2 599674 822471
1 39898 483960289
1 920547 451989782
1 959641 667256083
1 250393 686051757
2 7719 950430
2 316728 427132
2 248868 389122
2 719325 992773
1 264304 896003637
2 194258 705798
1 972660 456476824
1 932350 -425724098
2 212560 383949
1 162893 647534053
1 736054 -49027470
1 131958 147909843
1 62984 318110373
1 74532 -829014434
1 623667 -5406281
1 340149 -560526168
1 564898 14850079
2 254073 917642
2 444509 762305
1 600866 -653735157
1 504032 -127366929
1 443544 896138682
1 816536 382899355
1 334722 235173686
1 96199 -747552472
1 778559 -422567675
2 653375 886970
2 188330 861666
1 205134 -258531334
1 744511 -826056411
1 282692 -798790592
1 874161 -929968543
1 962300 126006583
1 759008 -793227687
1 545257 -138525586
1 196234 993706802
2 772455 857877
1 654805 -522452019
1 804009 590380605
2 20959 413661
1 517356 982649371
1 119732 -941562849
2 72935 499036
1 286043 -493593082
1 964804 743571720
1 198415 564572401
1 206020 334668853
1 905635 -517098721
1 632453 214182022
2 144808 599340
2 500100 988397
2 13530 106973
1 251934 -55525834
1 584324 689604084
1 629386 544633130
1 580831 875862971
1 379599 159432892
1 515349 -435020741
1 444438 -238414608
1 961207 -760997188
2 103991 187901
1 25710 -48289531
1 543050 -565324935
1 203037 379208232
1 902158 677940592
1 60155 -64587538
2 673400 987280
2 543458 644556
1 365701 -641856339
2 18117 296500
1 273672 -287802167
1 413385 -460434290
1 471433 -843685746
1 285499 -453122003
2 156581 448193
2 267634 877372
2 124423 964611
1 705580 87454993
1 127058 -962715404
1 197279 656519754
1 864213 -447533419
1 768328 231236790
1 958157 -186922293
2 354846 890404
2 295498 863551
2 244351 436390
2 47045 721991
1 234317 888922515
1 806558 333057145
1 175123 745132798
1 51921 165520768
1 662234 -901967119
1 175726 844047865
1 911521 412705162
1 560852 -49947471
1 875692 -662342761
1 24414 -62745002
2 110945 433188
1 184453 988060674
1 295236 -635698392
2 29369 646939
1 199168 -618140657
1 57677 622489720
2 743413 860935
2 199634 380172
1 795901 -882903866
1 163936 664451475
1 207582 87199004
1 132500 -768350631
1 614089 -54240119
1 875272 -65126334
1 823679 -694022389
1 310506 389477692
1 995800 -842265082
1 441085 -724177824
1 639467 -260467566
1 271486 -300602924
1 322494 955200857
1 993822 -65874243
1 382180 -963977424
1 730232 -649762723
1 810032 734154666
1 993236 252664774
2 91545 860813
2 120344 130110
1 641936 408268433
2 147721 603176
1 608512 -555967149
2 292125 716002
1 150780 95949365
1 24095 744152023
1 805118 -390170180
2 392758 445482
1 632269 332100910
1 936166 -88844779
1 453227 762270805
1 114224 -333759952
1 71826 985018188
1 964191 499222640
1 146309 -18425647
1 454340 160462433
1 33960 -304269919
1 773412 -199832490
1 937643 -312174760
1 892340 -667542490
2 40508 732216
2 359270 767547
1 413668 -735011981
1 412586 -758681690
1 811178 -6677389
1 997064 -787095184
1 63160 14824571
1 595931 -760321100
1 574062 -49632322
1 221653 940463135
2 426313 479388
2 129765 998152
1 659435 -510324325
1 489595 608115940
2 82379 416670
1 182281 186892951
2 730728 838414
1 578987 546865504
1 414422 -345150637
2 473054 587654
1 824872 194393363
1 582671 142053802
1 747736 -214602308
2 353762 720582
1 42350 -365420620
2 12932 870867
1 958287 -863108980
2 514595 576413
1 433385 -343579629
1 946030 -225196553
1 61724 915910927
1 73045 729589582
1 921767 129706098
1 34468 -767851342
1 336657 -735480216
1 763210 621672111
1 794069 -557551824
2 44847 333346
2 447939 491088
1 609270 -124003458
1 25371 349599931
2 394374 799070
2 184970 742657
1 178128 910643442
1 751234 -970088961
1 554448 950940177
1 407147 -83535047
1 876368 936571534
1 794064 -843496512
2 107567 512801
1 5856 -138838777
1 495456 5052469
1 399994 -329642789
1 455847 3809130
1 607265 552032979
1 513633 -461036314
1 707558 684048488
1 941311 947630686
2 293462 370981
1 357301 910369696
1 677757 -983153260
2 880196 910210
2 176268 200907
1 587351 244876091
1 858149 656995284
2 771197 938306
1 141185 -700688308
1 259263 832748335
1 963663 -346134911
1 349495 306299969
2 478376 637861
1 313171 438872722
2 301784 571614
1 111947 525329250
1 302893 -484823785
2 553560 754149
2 410812 914485
1 149655 22666216
1 133727 622515412
1 628060 619085399
1 726146 932505614
1 793253 -474195957
1 625469 189357898
1 897982 144172990
1 981619 504908755
1 850832 -977866902
1 280518 584177086
2 423862 427658
2 880093 989891
1 868152 -237837019
2 435213 626627
1 795167 587848287
2 674673 706902
1 484774 -384051855
1 694068 350434707
1 270101 339442786
1 90906 904335430
1 45117 590253026
1 917221 -870724723
1 230435 962423381
1 809899 763933775
1 327826 -515930995
2 409453 673484
1 988219 -358153172
2 400853 427357
1 717817 -959977833
2 527728 809744
1 148854 331989129
2 561960 733770
2 296925 887914
1 530703 -146037849
2 712645 762776
